team1,team2,team1_score,team2_score,match_date,match_time
ZY Gaming,Rare Atom,0,2,N/A,4:00 AM
M80,All Knights,2,0,N/A,9:25 PM
Galorys,TSM,1,2,N/A,5:00 PM
RETA Esports,2Game Esports,0,2,N/A,2:00 PM
Odd 1 OUT,NASR Ignite,1,2,N/A,10:00 AM
NASR Ignite,ALTERNATE aTTaX Ruby,0,2,N/A,12:40 PM
Team Falcons Vega,VALIANT GC,2,0,N/A,10:00 AM
K7 Esports,New Combat Line GC,3,2,N/A,5:00 PM
The Ultimates,PCIFIC Espor,0,2,N/A,1:05 PM
GIANTX GC,BBL Queens,2,0,N/A,12:35 PM
Apeks,CGN Esports,2,0,N/A,11:00 AM
G2 Gozen,Karmine Corp GC,2,0,N/A,10:00 AM
Zen eSports GC,Deagle Ravagers,3,0,N/A,5:00 PM
PCIFIC Espor,CGN Esports,1,2,N/A,12:55 PM
G2 Gozen,ALTERNATE aTTaX Ruby,2,0,N/A,12:55 PM
Apeks,The Ultimates,2,0,N/A,11:00 AM
BBL Queens,HEROIC Valkyries,2,1,N/A,10:00 AM
HEROIC Valkyries,VALIANT GC,1,2,N/A,12:10 PM
Karmine Corp GC,Odd 1 OUT,2,0,N/A,10:00 AM
MYVRA,KS Hunters,2,0,N/A,8:00 PM
FiRePOWER,LEVIATÁN GC,2,1,N/A,5:00 PM
Apeks,Barça eSports,2,1,N/A,1:00 PM
MOUZ,Joblife,2,1,N/A,12:45 PM
DSYRE,GoNext Esports,2,0,N/A,11:00 AM
PCIFIC Espor,SAW,2,0,N/A,11:00 AM
Bon Bon Bum,FUSION X,0,2,N/A,8:25 PM
Zen eSports GC,KRÜ BLAZE,1,2,N/A,5:00 PM
The Ultimates,SAW,2,1,N/A,2:10 PM
CGN Esports,GoNext Esports,2,0,N/A,1:10 PM
DSYRE,Barça eSports,2,1,N/A,11:00 AM
PCIFIC Espor,Joblife,2,0,N/A,11:00 AM
Akave Esports GC,K7 Esports,2,0,N/A,7:10 PM
9z Team GC,University War GC,2,0,N/A,5:00 PM
Apeks,DSYRE,2,0,N/A,2:35 PM
MOUZ,PCIFIC Espor,1,2,N/A,2:25 PM
CGN Esports,Barça eSports,2,1,N/A,11:00 AM
The Ultimates,Joblife,1,2,N/A,11:00 AM
YFP Gaming,Blinn,2,0,N/A,7:25 PM
YFP Gaming,Blue Otter,2,0,N/A,5:25 PM
Blinn,special grade,2,0,N/A,5:15 PM
GoNext Esports,Barça eSports,2,1,N/A,2:45 PM
TSM,YFP Gaming,1,2,N/A,2:00 PM
Blue Otter,ENVEE Esports,2,1,N/A,2:00 PM
FLUFFY AIMERS,Blinn,1,2,N/A,2:00 PM
FlyQuest RED,special grade,0,2,N/A,2:00 PM
SAW,Joblife,0,2,N/A,1:15 PM
Apeks,CGN Esports,2,1,N/A,11:00 AM
MOUZ,The Ultimates,0,2,N/A,11:00 AM
PCIFIC Espor,The Ultimates,2,0,N/A,3:45 PM
DSYRE,CGN Esports,1,2,N/A,2:15 PM
Apeks,GoNext Esports,1,2,N/A,11:00 AM
MOUZ,SAW,2,1,N/A,11:00 AM
Bon Bon Bum,Akave Esports GC,0,2,N/A,8:15 PM
KRÜ BLAZE,LEVIATÁN GC,2,1,N/A,5:00 PM
K7 Esports,MYVRA,0,2,N/A,7:15 PM
Zen eSports GC,9z Team GC,0,2,N/A,5:00 PM
FUSION X,KS Hunters,2,1,N/A,8:15 PM
University War GC,FiRePOWER,1,2,N/A,5:00 PM
EDward Gaming,Team Heretics,3,2,N/A,2:00 AM
LEVIATÁN,Team Heretics,1,3,N/A,2:00 AM
Team Heretics,Sentinels,2,1,N/A,5:45 AM
EDward Gaming,LEVIATÁN,2,1,N/A,2:00 AM
Team Heretics,DRX,2,1,N/A,6:25 AM
Sentinels,FNATIC,2,1,N/A,3:00 AM
LEVIATÁN,Team Heretics,2,0,N/A,6:15 AM
Sentinels,EDward Gaming,1,2,N/A,3:00 AM
G2 Esports,FNATIC,0,2,N/A,4:50 AM
DRX,Trace Esports,2,0,N/A,3:00 AM
Team Heretics,FNATIC,2,0,N/A,5:35 AM
G2 Esports,LEVIATÁN,0,2,N/A,3:00 AM
Trace Esports,EDward Gaming,0,2,N/A,5:25 AM
DRX,Sentinels,0,2,N/A,3:00 AM
EDward Gaming,Paper Rex,2,1,N/A,5:15 AM
LEVIATÁN,Team Vitality,2,0,N/A,3:00 AM
FNATIC,KRÜ Esports,2,1,N/A,5:15 AM
Gen.G,Sentinels,0,2,N/A,3:00 AM
FUT Esports,Paper Rex,0,2,N/A,5:25 AM
Talon Esports,Team Vitality,0,2,N/A,3:00 AM
Bilibili Gaming,KRÜ Esports,0,2,N/A,5:10 AM
Sentinels,FunPlus Phoenix,2,0,N/A,3:00 AM
EDward Gaming,G2 Esports,1,2,N/A,6:15 AM
LEVIATÁN,Trace Esports,1,2,N/A,3:00 AM
FNATIC,DRX,0,2,N/A,6:35 AM
Gen.G,Team Heretics,1,2,N/A,3:00 AM
EDward Gaming,FUT Esports,2,0,N/A,5:15 AM
G2 Esports,Paper Rex,2,0,N/A,3:00 AM
Team Vitality,Trace Esports,1,2,N/A,5:30 AM
LEVIATÁN,Talon Esports,2,0,N/A,3:00 AM
FNATIC,Bilibili Gaming,2,0,N/A,6:00 AM
DRX,KRÜ Esports,2,1,N/A,3:00 AM
FunPlus Phoenix,Team Heretics,1,2,N/A,5:25 AM
Gen.G,Sentinels,2,0,N/A,3:00 AM
K7 Esports,Bon Bon Bum,0,2,N/A,5:00 PM
M80,TSM,2,0,N/A,3:00 PM
VCL REJECTS 2.0,ESC Gaming,2,0,N/A,12:30 PM
NEANLATIYONBOLM,Fenerbahçe Esports,2,3,N/A,10:30 AM
Incognito,ESC Gaming,0,2,N/A,10:00 AM
KPI Gaming,CGN Esports,0,3,N/A,9:00 AM
NAOS,ZOL Esports,3,2,N/A,2:00 AM
KS Hunters,Akave Esports GC,0,2,N/A,8:20 PM
TBS GC,Team Leveling,1,2,N/A,4:50 PM
Moist x Shopify,TSM,1,2,N/A,3:00 PM
LOUD GC,revoada,2,0,N/A,3:00 PM
Galakticos,CGN Esports,1,2,N/A,1:15 PM
VCL REJECTS 2.0,genziary,0,2,N/A,1:00 PM
NEANLATIYONBOLM,Digital Athletics,1,2,N/A,11:10 AM
ESC Gaming,genziary,0,2,N/A,11:00 AM
KPI Gaming,VALIANT,2,1,N/A,10:00 AM
Mamacita,Fenerbahçe Esports,0,2,N/A,9:30 AM
Incognito,VCL REJECTS 2.0,1,2,N/A,8:00 AM
MYVRA,FUSION X,1,2,N/A,8:00 PM
MIBR GC,LOUD GC,2,0,N/A,6:30 PM
Oxygen Esports,TSM,0,2,N/A,5:40 PM
Moist x Shopify,M80,0,2,N/A,3:00 PM
Team Liquid Brazil,TBS GC,2,1,N/A,3:00 PM
SweetNsour,NOVO Esports,1,2,N/A,2:00 PM
VALIANT,NOVO Esports,2,1,N/A,11:00 AM
SweetNsour,VALIANT,0,2,N/A,8:00 AM
All Knights,E-Xolos LAZER,3,2,N/A,4:00 PM
SweetNsour,KPI Gaming,0,2,N/A,3:30 PM
THE 7,Galorys,1,3,N/A,3:00 PM
CGN Esports,NOVO Esports,2,0,N/A,2:25 PM
VALIANT,Galakticos,0,2,N/A,2:10 PM
R8 Esports,SweetNsour,1,2,N/A,12:00 PM
Diamant Esports,VALIANT,0,2,N/A,11:00 AM
NOVO Esports,PPP,2,1,N/A,11:00 AM
DVM Esport,Siko,3,0,N/A,10:00 AM
KPI Gaming,R8 Esports,2,0,N/A,9:00 AM
Galakticos,Diamant Esports,1,2,N/A,8:00 AM
PPP,CGN Esports,0,2,N/A,8:00 AM
Fancy United Esports,Rapid Lofi,1,3,N/A,5:00 AM
Alter Ego,BOOM Esports,2,3,N/A,3:00 AM
Mir Gaming GC,URACHACHA,3,1,N/A,2:00 AM
Xipto Esports,sisu,3,1,N/A,1:00 AM
Made in Thailand,FULL SENSE,1,3,N/A,1:00 AM
URACHACHA,Nuclear GC,2,0,N/A,12:00 AM
RIDDLE ORDER,FENNEL,3,2,N/A,12:00 AM
FlyQuest RED,Shopify Rebellion,2,1,N/A,6:30 PM
RETA Esports,All Knights,3,2,N/A,4:30 PM
Galorys,2Game Esports,2,0,N/A,3:00 PM
9z Team,E-Xolos LAZER,1,2,N/A,1:00 PM
DVM Esport,Solary,0,3,N/A,11:30 AM
GoNext Esports,Diamant Esports,3,1,N/A,10:00 AM
HSMIX,Siko,0,2,N/A,9:00 AM
FULL SENSE,XERXIA Esports,2,0,N/A,5:35 AM
Rapid Lofi,Team Flash,3,2,N/A,5:00 AM
BOBA,sisu,1,2,N/A,3:15 AM
Sharper Esport,XERXIA Esports,0,2,N/A,3:10 AM
Sin Prisa Gaming,Nongshim RedForce,3,2,N/A,3:00 AM
ARF TEAM,BOOM Esports,0,3,N/A,2:00 AM
FULL SENSE,Made in Thailand,0,2,N/A,1:00 AM
sisu,4Fun,2,0,N/A,12:50 AM
Sengoku Gaming,FENNEL,1,3,N/A,12:00 AM
Xipto Esports,BOBA,2,0,N/A,11:00 PM
Galorys,THE 7,0,2,N/A,6:00 PM
Blinn,TSM,0,2,N/A,6:00 PM
All Knights,E-Xolos LAZER,2,0,N/A,6:00 PM
9z Team,RETA Esports,0,2,N/A,3:30 PM
Stellae Gaming,2Game Esports,1,2,N/A,3:00 PM
Oxygen Esports,DarkZero Esports,2,0,N/A,3:00 PM
DSYRE,NOVO Esports,3,0,N/A,11:00 AM
Team Falcons,R8 Esports,3,2,N/A,11:00 AM
Acend,Diamant Esports,2,3,N/A,10:00 AM
Apeks,SweetNsour,3,0,N/A,10:00 AM
PCIFIC Espor,HOWL Esports,3,1,N/A,9:30 AM
Made in Thailand,XERXIA Esports,2,0,N/A,7:00 AM
invincible gc,4Fun,0,2,N/A,6:00 AM
Nuclear GC,URACHACHA,0,2,N/A,5:25 AM
Alter Ego,ARF TEAM,2,0,N/A,4:25 AM
sisu,Cardboard Dinosaur,2,0,N/A,4:00 AM
FULL SENSE,Sharper Esport,2,1,N/A,4:00 AM
Mir Gaming GC,SGA Incheon,2,0,N/A,3:00 AM
Bigetron Arctic,BOOM Esports,0,2,N/A,2:00 AM
Oasis Gaming,ZOL Esports,1,3,N/A,2:00 AM
2Game Esports,TBK Esports,2,0,N/A,5:15 PM
SaD Esports,TSM,1,2,N/A,5:00 PM
Stellae Gaming,RED Canids,2,0,N/A,3:00 PM
DarkZero Esports,FLUFFY AIMERS,2,0,N/A,3:00 PM
Diamant Esports,trashcan,2,0,N/A,1:30 PM
Requiem,SweetNsour,1,2,N/A,12:00 PM
R8 Esports,NASR Esports,3,2,N/A,11:00 AM
Acend,GoNext Esports,1,2,N/A,10:00 AM
HOWL Esports,Galakticos,3,1,N/A,9:30 AM
4Fun,Avernus Esports GC,2,0,N/A,8:00 AM
LILAX,Cardboard Dinosaur,1,2,N/A,4:30 AM
THE HERO DETA,Bigetron Arctic,0,2,N/A,4:05 AM
BOOM Esports,Cynical,2,0,N/A,1:15 AM
sisu,BOBA,1,2,N/A,1:00 AM
ARF TEAM,THE HERO DETA,2,0,N/A,11:00 PM
Blinn,Moist x Shopify,0,2,N/A,6:45 PM
Team Leveling,paprica picante,2,1,N/A,5:00 PM
Team Falcons,R8 Esports,2,1,N/A,3:15 PM
Oxygen Esports,M80,1,2,N/A,3:00 PM
PS5PATAS,revoada,0,2,N/A,3:00 PM
PCIFIC Espor,HOWL Esports,2,1,N/A,12:30 PM
Apeks,Requiem,2,0,N/A,11:25 AM
NASR Esports,United Gaming,2,1,N/A,11:00 AM
OnlyFins,SweetNsour,0,2,N/A,9:00 AM
Galakticos,Galatasaray Esports,2,1,N/A,8:30 AM
BOOM Esports,Alter Ego,1,2,N/A,4:45 AM
Xipto Esports,invincible gc,2,0,N/A,4:00 AM
Dplus Esports,Nongshim RedForce,1,3,N/A,3:00 AM
ZETA DIVISION GC,FENNEL GC,3,1,N/A,2:30 AM
THE HERO DETA,Cynical,2,1,N/A,1:20 AM
Bigetron Arctic,Alter Ego,0,2,N/A,11:00 PM
DarkZero Esports,Blinn,1,2,N/A,5:30 PM
LOUD GC,paprica picante,2,0,N/A,4:45 PM
Moist x Shopify,FLUFFY AIMERS,2,0,N/A,3:00 PM
MIBR GC,Team Leveling,2,0,N/A,3:00 PM
R8 Esports,United Gaming,2,0,N/A,1:30 PM
TBS GC,revoada,2,0,N/A,1:00 PM
Fire Flux Esports,Galatasaray Esports,1,2,N/A,12:10 PM
SweetNsour,Requiem,1,2,N/A,11:00 AM
Team Falcons,NASR Esports,2,0,N/A,11:00 AM
Apeks,OnlyFins,2,0,N/A,9:00 AM
Papara SuperMassive,Galakticos,1,2,N/A,8:30 AM
BOBA,Avernus Esports GC,2,0,N/A,6:45 AM
JustUs,ZOL Esports,1,2,N/A,4:30 AM
sisu,4Fun,2,0,N/A,4:00 AM
FENNEL GC,REIGNITE Lily,3,2,N/A,2:20 AM
Oasis Gaming,NAOS,0,2,N/A,2:00 AM
Oxygen Esports,SaD Esports,2,0,N/A,5:45 PM
Team Liquid Brazil,PS5PATAS,2,0,N/A,4:00 PM
M80,TSM,2,0,N/A,3:00 PM
HOWL Esports,Papara SuperMassive,2,1,N/A,12:00 PM
Fire Flux Esports,PCIFIC Espor,0,2,N/A,8:30 AM
invincible gc,Cardboard Dinosaur,2,1,N/A,6:00 AM
NAOS,ZOL Esports,2,1,N/A,4:30 AM
Xipto Esports,LILAX,2,0,N/A,4:00 AM
Oasis Gaming,JustUs,2,0,N/A,2:00 AM
G2 Esports,LEVIATÁN,1,3,N/A,4:00 PM
Papara SuperMassive,Galatasaray Esports,2,0,N/A,12:00 PM
Joblife,VALIANT,3,0,N/A,11:00 AM
SAW,PPP,3,0,N/A,9:00 AM
PCIFIC Espor,Galakticos,2,1,N/A,8:40 AM
Gen.G,DRX,3,1,N/A,3:00 AM
LEVIATÁN,KRÜ Esports,3,2,N/A,4:00 PM
FNATIC,Team Vitality,3,1,N/A,11:00 AM
CGN Esports,MOUZ,1,3,N/A,7:00 AM
EDward Gaming,FunPlus Phoenix,3,2,N/A,3:30 AM
DRX,Paper Rex,3,2,N/A,3:00 AM
KRÜ Esports,100 Thieves,2,1,N/A,6:10 PM
LEVIATÁN,G2 Esports,0,2,N/A,4:00 PM
Team Vitality,Team Heretics,3,1,N/A,11:00 AM
Team Flash,Cyberking Esports,2,0,N/A,7:10 AM
Made in Thailand,FULL SENSE,3,1,N/A,6:00 AM
Fancy United Esports,Rapid Lofi,2,0,N/A,5:00 AM
OLD STINKY CAT,ZOL Esports,0,2,N/A,4:00 AM
Trace Esports,FunPlus Phoenix,2,3,N/A,3:00 AM
JustUs,Carti World,2,0,N/A,2:00 AM
G2 Esports,100 Thieves,2,0,N/A,5:55 PM
LEVIATÁN,KRÜ Esports,2,0,N/A,4:00 PM
Cyberking Esports,Team Big BAAM,2,1,N/A,7:00 AM
Disguised,Reve Drift Arena,3,0,N/A,6:00 AM
XERXIA Esports,FULL SENSE,1,3,N/A,6:00 AM
Team Flash,LAZY,2,0,N/A,5:00 AM
SLT Seongnam,Nongshim RedForce,0,2,N/A,5:00 AM
FunPlus Phoenix,Bilibili Gaming,2,1,N/A,4:50 AM
Cyber Geek,REIGNITE Lily,0,2,N/A,4:15 AM
Trace Esports,EDward Gaming,0,2,N/A,3:00 AM
Tyrant Esports,ZOL Esports,1,2,N/A,1:30 AM
ZETA DIVISION GC,FENNEL GC,2,1,N/A,1:18 AM
Sin Prisa Gaming,Dplus Esports,2,1,N/A,1:00 AM
REIGNITE Lily,DRX Changers,2,0,N/A,10:35 PM
SCARZ GC,Cyber Geek,0,2,N/A,8:20 PM
Sentinels,100 Thieves,0,2,N/A,7:30 PM
KRÜ Esports,Cloud9,2,1,N/A,4:00 PM
Team Heretics,FUT Esports,2,0,N/A,1:15 PM
Team Vitality,FNATIC,0,2,N/A,11:00 AM
Team Flash,Rapid Lofi,0,2,N/A,6:40 AM
Subversive,NAOS,0,2,N/A,6:15 AM
ELEVATE,Reve Drift Arena,2,3,N/A,6:00 AM
EDward Gaming,Bilibili Gaming,2,1,N/A,5:10 AM
Fancy United Esports,Cyberking Esports,2,0,N/A,5:00 AM
Avernus Esports,JustUs,0,2,N/A,4:25 AM
FENNEL GC,SCARZ GC,2,0,N/A,4:00 AM
Nongshim RedForce,VEC DAEJEON,2,0,N/A,3:40 AM
FunPlus Phoenix,Trace Esports,0,2,N/A,3:00 AM
REIGNITE Lily,ZETA DIVISION GC,0,2,N/A,1:30 AM
Carti World,Oasis Gaming,1,2,N/A,1:00 AM
SLT Seongnam,IAM,2,0,N/A,1:00 AM
DetonatioN FocusMe GC,DRX Changers,0,2,N/A,11:00 PM
Meteor,Cyber Geek,1,2,N/A,8:15 PM
THE 7,Stellae Gaming,2,1,N/A,5:30 PM
Lemonade Stand,Winthrop University,2,1,N/A,5:10 PM
2Game Esports,Galorys,0,2,N/A,3:00 PM
Dough Bros,Winthrop University,0,2,N/A,3:00 PM
FUT Esports,FNATIC,0,2,N/A,2:45 PM
Team Heretics,Team Vitality,1,2,N/A,11:00 AM
LaZe,Reve Drift Arena,1,2,N/A,9:45 AM
ELEVATE,Disguised,1,2,N/A,6:00 AM
JDG Esports,Bilibili Gaming,0,2,N/A,5:25 AM
DRX Changers,SCARZ GC,1,2,N/A,3:40 AM
Trace Esports,All Gamers,2,0,N/A,3:00 AM
FENNEL GC,DetonatioN FocusMe GC,2,0,N/A,1:30 AM
ZETA DIVISION GC,Cyber Geek,2,0,N/A,11:00 PM
Meteor,REIGNITE Lily,0,2,N/A,8:30 PM
TBK Esports,Stellae Gaming,0,2,N/A,6:15 PM
Lemonade Stand,Ambrosia,0,2,N/A,5:55 PM
Winthrop University,Ambrosia,0,2,N/A,3:15 PM
RED Canids,Galorys,1,2,N/A,3:00 PM
Dough Bros,Lemonade Stand,1,2,N/A,3:00 PM
FNATIC,Karmine Corp,2,1,N/A,1:50 PM
Team Vitality,Natus Vincere,2,1,N/A,11:00 AM
Sentinels,G2 Esports,0,2,N/A,7:00 PM
LOUD,100 Thieves,2,1,N/A,4:00 PM
ALTERNATE aTTaX Ruby,Zerance Mint,2,1,N/A,2:45 PM
GoNext Esports,trashcan,2,1,N/A,1:00 PM
NOVO Esports,Outplayed,3,0,N/A,11:00 AM
ALTERNATE aTTaX Ruby,VALIANT GC,0,2,N/A,11:00 AM
Acend,Diamant Esports,2,1,N/A,10:00 AM
Mandatory,VALIANT,2,3,N/A,9:00 AM
Paper Rex,Talon Esports,2,0,N/A,6:15 AM
Xi Lai Gaming,KeepBest Gaming,3,0,N/A,3:30 AM
Gen.G,DRX,2,1,N/A,3:00 AM
LEVIATÁN,FURIA,2,0,N/A,6:10 PM
Evil Geniuses,MIBR,0,2,N/A,4:00 PM
Chipi Chapa's,trashcan,0,2,N/A,11:40 AM
Zerance,Joblife,1,3,N/A,11:00 AM
trashcan,B8 Esports,2,0,N/A,10:00 AM
Chipi Chapa's,Diamant Esports,0,2,N/A,8:00 AM
DRX,Talon Esports,2,0,N/A,5:05 AM
Kulin Esports,KeepBest Gaming,1,2,N/A,4:30 AM
Paper Rex,Gen.G,0,2,N/A,3:00 AM
Xi Lai Gaming,Chosen Clique Gaming,2,0,N/A,2:00 AM
Cloud9,KRÜ Esports,0,2,N/A,7:00 PM
Chipi Chapa's,trashcan,2,1,N/A,12:05 PM
Diamant Esports,B8 Esports,2,0,N/A,10:00 AM
Team Secret,Talon Esports,0,2,N/A,5:15 AM
Gen.G,Rex Regum Qeon,2,0,N/A,3:00 AM
Moist x Shopify,M80,0,2,N/A,5:00 PM
QoR,Winthrop University,2,0,N/A,4:40 PM
Blinn,Dough Bros,2,0,N/A,3:00 PM
XLD Gaming,Stellae Gaming,0,3,N/A,3:00 PM
Team Vitality,Karmine Corp,2,1,N/A,2:10 PM
Natus Vincere,Gentle Mates,2,1,N/A,11:00 AM
Reve Drift Arena,Kizuna Esports,2,0,N/A,9:35 AM
Made in Thailand,XERXIA Esports,2,1,N/A,9:15 AM
Avernus Esports,NAOS,0,2,N/A,6:00 AM
ONE Team Esports,Oblivion Force,1,3,N/A,6:00 AM
LaZe,NEXGA,2,1,N/A,6:00 AM
Sharper Esport,FULL SENSE,1,2,N/A,6:00 AM
Dplus Esports,SLT Seongnam,2,0,N/A,5:00 AM
Purr-fectionists,9to5 workers,3,0,N/A,4:30 AM
BOOM Esports,ARF TEAM,2,0,N/A,4:10 AM
Justice For Tomorrow,Arena Internet Cafe,3,1,N/A,3:30 AM
Murash Gaming,FENNEL,0,2,N/A,3:30 AM
JustUs,Tyrant Esports,2,1,N/A,3:20 AM
Alter Ego,Bigetron Arctic,0,2,N/A,2:00 AM
RIDDLE ORDER,Sengoku Gaming,2,0,N/A,1:30 AM
Rank El Cuties,Carti World,0,2,N/A,1:00 AM
Sin Prisa Gaming,Nongshim RedForce,2,1,N/A,1:00 AM
Akave Esports GC,KS Hunters,2,0,N/A,8:20 PM
Galorys,XLD Gaming,2,0,N/A,5:30 PM
9z Team GC,FiRePOWER,2,1,N/A,5:00 PM
YFP Gaming,TSM,0,2,N/A,3:00 PM
Hero Base,Stellae Gaming,0,2,N/A,3:00 PM
FNATIC,Team Liquid,2,0,N/A,2:20 PM
Team Heretics,KOI,2,1,N/A,11:00 AM
Disguised,LaZe,2,0,N/A,8:30 AM
FULL SENSE,XERXIA Esports,0,2,N/A,8:15 AM
Asmodeus Colosseum GC,9to5 workers,0,2,N/A,6:40 AM
Team Kobolds,Oblivion Force,0,3,N/A,6:00 AM
ELEVATE,Reve Drift Arena,2,0,N/A,6:00 AM
Made in Thailand,Sharper Esport,2,0,N/A,6:00 AM
OLD STINKY CAT,ZOL Esports,2,1,N/A,5:45 AM
BOOM Esports,Cynical,2,0,N/A,5:00 AM
SLT Seongnam,VEC DAEJEON,2,0,N/A,4:50 AM
Gang Gang,Purr-fectionists,0,2,N/A,4:30 AM
VARREL,FENNEL,1,2,N/A,4:20 AM
Arena Internet Cafe,FOCUSGG,2,0,N/A,3:30 AM
Tyrant Esports,NAOS,0,2,N/A,3:05 AM
DIS Esports,Le Crapaud,2,1,N/A,2:00 AM
SCARZ,Murash Gaming,1,2,N/A,1:30 AM
Avernus Esports,Oasis Gaming,0,2,N/A,1:00 AM
Nongshim RedForce,IAM,2,1,N/A,1:00 AM
FLUFFY AIMERS,DarkZero Esports,2,1,N/A,6:10 PM
XLD Gaming,Stellae Gaming,2,1,N/A,6:10 PM
Oxygen Esports,SaD Esports,2,1,N/A,3:00 PM
Hero Base,Galorys,1,2,N/A,3:00 PM
FUT Esports,GIANTX,2,0,N/A,1:00 PM
Team Kobolds,ONE Team Esports,1,2,N/A,8:15 AM
Five Ace Esports,Oblivion Force,0,2,N/A,6:00 AM
Evil Geniuses,100 Thieves,1,2,N/A,4:00 PM
Diamant Esports,GoNext Esports,0,2,N/A,1:00 PM
Eternal Fire,Papara SuperMassive,0,2,N/A,11:30 AM
Zero Tenacity,B8 Esports,1,2,N/A,10:00 AM
Galakticos,Fenerbahçe Esports,2,0,N/A,9:30 AM
T1,BLEED,2,1,N/A,3:00 AM
NRG Esports,Cloud9,1,2,N/A,6:15 PM
MIBR,FURIA,0,2,N/A,4:00 PM
Mandatory,Solary,2,1,N/A,1:45 PM
Eintracht Frankfurt,MOUZ,1,2,N/A,1:40 PM
Acend,trashcan,2,1,N/A,1:20 PM
